bin,mz_approx,consistent_sign,median_abs_smd,smd__DRIAMS-A,smd__DRIAMS-C,selected
149,2447.1099999999997,True,0.35272282,0.21401432,0.49143133,True
1082,5246.11,True,0.35135457,-0.32461193,-0.3780972,True
1259,5777.11,True,0.3487407,-0.32899934,-0.36848208,True
1601,6803.11,True,0.3486403,-0.24977235,-0.44750825,True
685,4055.1099999999997,True,0.34838185,-0.3190065,-0.3777572,True
317,2951.1099999999997,True,0.34767443,0.18610586,0.509243,True
1476,6428.11,True,0.34714675,-0.30043086,-0.39386263,True
1344,6032.11,True,0.34708226,0.15121803,0.54294646,True
1520,6560.11,True,0.34633666,-0.25370705,-0.43896627,True
2831,10493.11,True,0.3462116,-0.24513727,-0.44728598,True
1521,6563.11,True,0.34585232,-0.24154663,-0.450158,True
1860,7580.11,True,0.34507042,-0.2879086,-0.40223223,True
5822,19466.11,True,0.3449615,0.21618333,0.47373965,True
1334,6002.11,True,0.3446655,0.3016759,0.3876551,True
1530,6590.11,True,0.34278712,0.28876144,0.3968128,True
1263,5789.11,True,0.3421824,-0.36594006,-0.3184247,True
2395,9185.11,True,0.3414615,-0.25653753,-0.4263855,True
2356,9068.11,True,0.34113562,0.43148002,0.25079125,True
1061,5183.11,True,0.33992282,0.6268559,0.052989718,True
630,3890.1099999999997,True,0.33963096,0.27118552,0.40807638,True
1642,6926.11,True,0.33924815,0.3006455,0.3778508,True
382,3146.1099999999997,True,0.33881566,0.093241885,0.58438945,True
2032,8096.11,True,0.33789253,-0.31329218,-0.36249292,True
1750,7250.11,True,0.3378902,-0.25552246,-0.420258,True
4328,14984.11,True,0.3375491,0.20754229,0.4675559,True
868,4604.11,True,0.337529,-0.28029904,-0.394759,True
316,2948.1099999999997,False,0.5179391,-0.08729336,0.94858485,False
249,2747.1099999999997,False,0.39163762,-0.28636104,0.49691424,False
619,3857.1099999999997,False,0.38881558,-0.31855527,0.45907593,False
618,3854.1099999999997,False,0.38395303,-0.35578573,0.4121203,False
250,2750.1099999999997,False,0.38271236,-0.40722865,0.3581961,False
1168,5504.11,False,0.38248748,-0.24944726,0.51552767,False
2930,10790.11,False,0.3797754,-0.39016017,0.3693906,False
1000,5000.11,False,0.37861392,0.6787464,-0.07848142,False
1001,5003.11,False,0.37768924,0.6657315,-0.089647,False
2931,10793.11,False,0.37005723,-0.3955924,0.34452206,False
999,4997.11,False,0.36804575,0.63534826,-0.10074325,False
1167,5501.11,False,0.36363646,-0.22412671,0.50314623,False
41,2123.1099999999997,False,0.35472542,-0.4641781,0.24527279,False
1062,5186.11,False,0.34082723,0.5641255,-0.11752897,False
1162,5486.11,False,0.3406934,-0.31065443,0.37073243,False
1166,5498.11,False,0.33941096,-0.20319678,0.47562516,False
1161,5483.11,False,0.33930093,-0.27343822,0.40516365,False
2033,8099.11,True,0.33576238,-0.24407269,-0.42745206,False
275,2825.1099999999997,True,0.33561593,0.35173976,0.31949207,False
870,4610.11,True,0.33542436,-0.258084,-0.4127647,False
1144,5432.11,True,0.3349986,0.46476442,0.20523281,False
867,4601.11,True,0.33470196,-0.234104,-0.43529993,False
1257,5771.11,True,0.3341701,-0.33675256,-0.33158767,False
2300,8900.11,True,0.3340529,-0.22225489,-0.4458509,False
1381,6143.11,True,0.33303404,0.5153947,0.15067336,False
869,4607.11,True,0.33269346,-0.28562897,-0.37975794,False
1260,5780.11,True,0.33229598,-0.3537662,-0.31082577,False
1002,5006.11,False,0.3318266,0.6156157,-0.048037454,False
2396,9188.11,True,0.33161435,-0.23873797,-0.42449072,False
330,2990.1099999999997,True,0.3308877,0.23771323,0.4240622,False
864,4592.11,True,0.33042848,-0.31509653,-0.3457604,False
287,2861.1099999999997,True,0.33036676,0.059144273,0.60158926,False
315,2945.1099999999997,False,0.32998994,-0.2989931,0.36098677,False
81,2243.1099999999997,True,0.32993668,-0.46347225,-0.19640113,False
322,2966.1099999999997,True,0.32991064,-0.34759143,-0.31222984,False
2446,9338.11,True,0.32925183,0.20313202,0.45537165,False
5391,18173.11,False,0.32806987,0.18401743,-0.4721223,False
1174,5522.11,True,0.32798102,0.45329016,0.20267189,False
1083,5249.11,True,0.3277423,-0.27471235,-0.38077226,False
1627,6881.11,True,0.32743925,0.32066494,0.33421355,False
684,4052.1099999999997,True,0.32634366,-0.26695454,-0.38573277,False
1020,5060.11,True,0.32612842,-0.35060504,-0.3016518,False
1358,6074.11,True,0.32565808,0.209649,0.44166717,False
3183,11549.11,True,0.3256047,-0.23612855,-0.41508088,False
2828,10484.11,True,0.32503366,-0.24210367,-0.4079637,False
3182,11546.11,True,0.3245355,-0.2604165,-0.3886545,False
866,4598.11,True,0.32428512,-0.2408581,-0.40771213,False
2413,9239.11,True,0.32324383,0.076887436,0.5696002,False
1018,5054.11,True,0.3231162,-0.36770865,-0.27852377,False
2298,8894.11,True,0.3224106,-0.22111665,-0.4237046,False
1724,7172.11,True,0.32203412,-0.3688525,-0.27521574,False
694,4082.1099999999997,True,0.32152903,-0.22639939,-0.41665867,False
1143,5429.11,True,0.32110098,0.36011598,0.28208598,False
2402,9206.11,True,0.32072958,-0.22093375,-0.4205254,False
998,4994.11,False,0.3203891,0.4756636,-0.16511455,False
2705,10115.11,True,0.3196633,-0.2640447,-0.37528184,False
1907,7721.11,True,0.31878406,0.4327065,0.20486163,False
2704,10112.11,True,0.3186672,-0.26601774,-0.37131667,False
5390,18170.11,False,0.3186346,0.17870992,-0.45855927,False
1477,6431.11,True,0.31827617,-0.24001117,-0.39654115,False
790,4370.11,True,0.31796214,-0.26883736,-0.36708692,False
3866,13598.11,True,0.31787214,-0.17980494,-0.45593932,False
996,4988.11,False,0.31774154,0.42337167,-0.2121114,False
1222,5666.11,True,0.3175221,0.19849503,0.43654922,False
2031,8093.11,True,0.31718525,-0.30672646,-0.32764405,False
1859,7577.11,True,0.3170579,-0.24508232,-0.38903347,False
4839,16517.11,True,0.31696954,0.21640725,0.41753185,False
1081,5243.11,True,0.31676048,-0.28159776,-0.35192317,False
1651,6953.11,True,0.31574127,0.3810499,0.25043264,False
4592,15776.11,True,0.31559318,0.2375837,0.3936027,False
1728,7184.11,False,0.31506068,0.33398873,-0.29613262,False
1011,5033.11,True,0.3138197,0.3061181,0.32152128,False
1343,6029.11,True,0.31336933,0.13506025,0.49167845,False
1261,5783.11,True,0.31326693,-0.3629371,-0.2635968,False
693,4079.1099999999997,True,0.31310225,-0.23479643,-0.39140803,False
865,4595.11,True,0.31307623,-0.26898554,-0.35716692,False
4165,14495.11,True,0.31296045,-0.17960241,-0.44631845,False
3002,11006.11,True,0.31283924,0.12204648,0.503632,False
1169,5507.11,False,0.31186295,-0.2708691,0.35285676,False
857,4571.11,False,0.3118198,-0.3457125,0.27792707,False
4744,16232.11,True,0.3114627,0.19955426,0.42337117,False
499,3497.1099999999997,True,0.3113336,-0.24684745,-0.3758197,False
2966,10898.11,True,0.31092045,0.40800154,0.21383934,False
1751,7253.11,True,0.31002843,-0.25338155,-0.36667532,False
475,3425.1099999999997,True,0.3099706,-0.28028557,-0.3396556,False
2394,9182.11,True,0.30983207,-0.2615945,-0.35806963,False
2052,8156.11,True,0.30976257,-0.19624716,-0.42327797,False
4272,14816.11,True,0.30933982,0.20800999,0.41066965,False
4389,15167.11,True,0.3089858,-0.22085166,-0.39711994,False
1194,5582.11,True,0.30897358,0.1486877,0.46925947,False
82,2246.1099999999997,True,0.3088531,-0.30982724,-0.30787894,False
1475,6425.11,True,0.30837148,-0.2828174,-0.33392555,False
3461,12383.11,True,0.308164,0.11292559,0.5034024,False
323,2969.1099999999997,True,0.3081535,-0.34003943,-0.2762676,False
3924,13772.11,True,0.30773273,0.21279602,0.40266946,False
405,3215.1099999999997,True,0.3077243,-0.29225034,-0.3231983,False
2397,9191.11,True,0.30753118,-0.20804399,-0.4070184,False
1438,6314.11,True,0.30586997,-0.16519372,-0.4465462,False
2136,8408.11,True,0.30541456,0.36032578,0.25050336,False
3520,12560.11,False,0.30506453,0.1976754,-0.41245365,False
5629,18887.11,True,0.3050233,0.16541624,0.44463035,False
2083,8249.11,True,0.3046979,0.10946398,0.49993184,False
23,2069.1099999999997,True,0.303882,-0.43975472,-0.16800927,False
2381,9143.11,False,0.3035112,-0.2781616,0.32886082,False
994,4982.11,False,0.30288154,0.39552775,-0.2102353,False
2702,10106.11,True,0.3020504,-0.2601574,-0.3439434,False
1624,6872.11,True,0.30188787,0.2445765,0.35919923,False
4674,16022.11,True,0.30186424,0.16702166,0.4367068,False
2967,10901.11,True,0.30162784,0.42804724,0.17520843,False
1163,5489.11,False,0.30125335,-0.27001062,0.33249608,False
1675,7025.11,True,0.3012379,-0.36039713,-0.24207868,False
4330,14990.11,True,0.3009324,0.19659288,0.40527192,False
502,3506.1099999999997,False,0.2996583,-0.16810986,0.4312067,False
4112,14336.11,True,0.29937646,0.18467064,0.41408226,False
325,2975.1099999999997,True,0.29925677,0.15745004,0.4410635,False
871,4613.11,True,0.2991079,-0.23422094,-0.36399487,False
1861,7583.11,True,0.29893887,-0.26399663,-0.3338811,False
1170,5510.11,False,0.29887962,-0.26421896,0.3335403,False
997,4991.11,False,0.2987138,0.41964218,-0.17778546,False
16,2048.1099999999997,True,0.2984644,-0.3491899,-0.24773885,False
1370,6110.11,True,0.29839212,0.25045195,0.3463323,False
3702,13106.11,True,0.29831085,-0.21520695,-0.38141474,False
3703,13109.11,True,0.29816335,-0.22850561,-0.3678211,False
260,2780.1099999999997,True,0.29815012,0.31776202,0.2785382,False
1862,7586.11,True,0.29795524,-0.25562873,-0.34028175,False
2648,9944.11,True,0.29780748,0.11951181,0.47610316,False
3743,13229.11,True,0.29772404,0.13310994,0.46233812,False
1223,5669.11,True,0.29759717,0.26182887,0.3333655,False
1009,5027.11,True,0.29741699,0.27123886,0.3235951,False
2832,10496.11,True,0.29698345,-0.20301373,-0.39095318,False
97,2291.1099999999997,True,0.29695994,0.048325706,0.54559416,False
2034,8102.11,True,0.29617953,-0.20169544,-0.3906636,False
1147,5441.11,False,0.2958321,0.22628967,-0.36537454,False
616,3848.1099999999997,True,0.29507354,-0.3527335,-0.23741357,False
478,3434.1099999999997,False,0.29478097,-0.22861937,0.36094254,False
2308,8924.11,False,0.2945125,-0.04285921,0.5461658,False
19,2057.1099999999997,False,0.29384834,0.23479041,-0.35290623,False
373,3119.1099999999997,False,0.29364502,-0.1630877,0.42420235,False
49,2147.1099999999997,False,0.29361898,-0.10620891,0.48102903,False
2849,10547.11,True,0.29346782,0.24652524,0.34041038,False
3090,11270.11,False,0.29315424,0.30205372,-0.28425473,False
3180,11540.11,True,0.29271626,-0.2688208,-0.3166117,False
3923,13769.11,True,0.2927027,0.2115585,0.37384692,False
1656,6968.11,True,0.29264012,0.26867697,0.31660327,False
2343,9029.11,True,0.2925323,0.06300906,0.5220555,False
353,3059.1099999999997,True,0.2922657,-0.25847825,-0.32605317,False
2968,10904.11,True,0.2919107,0.45893228,0.12488913,False
347,3041.1099999999997,True,0.29136768,0.09724497,0.4854904,False
3982,13946.11,False,0.29131085,0.13531044,-0.44731128,False
2094,8282.11,True,0.2911447,0.14538217,0.43690723,False
4200,14600.11,True,0.29062316,0.106722005,0.4745243,False
4273,14819.11,True,0.28968602,0.2588269,0.32054514,False
498,3494.1099999999997,True,0.28958827,-0.24277082,-0.33640572,False
3003,11009.11,True,0.28938803,0.18355054,0.39522552,False
3995,13985.11,True,0.2890641,0.14729658,0.43083167,False
1863,7589.11,True,0.28898674,-0.26756433,-0.31040916,False
4388,15164.11,True,0.2882162,-0.23225172,-0.3441807,False
202,2606.1099999999997,True,0.28784296,-0.29037672,-0.2853092,False
1749,7247.11,True,0.28765815,-0.23437242,-0.34094387,False
661,3983.1099999999997,True,0.2874443,0.27783725,0.29705137,False
3033,11099.11,True,0.2873035,0.24247767,0.33212936,False
2401,9203.11,True,0.28723794,-0.207299,-0.3671769,False
995,4985.11,False,0.28720412,0.47035593,-0.10405233,False
2850,10550.11,True,0.28708488,0.25171655,0.3224532,False
596,3788.1099999999997,True,0.28708225,-0.24085192,-0.3333126,False
3251,11753.11,True,0.2869314,0.15269619,0.4211666,False
4390,15170.11,True,0.2867829,-0.1915666,-0.3819992,False
331,2993.1099999999997,True,0.2867311,0.28360635,0.28985584,False
724,4172.11,True,0.28638312,0.40609065,0.16667561,False
3865,13595.11,True,0.2862323,-0.16439442,-0.40807018,False
1602,6806.11,True,0.28565973,-0.23203841,-0.33928105,False
2301,8903.11,True,0.28521425,-0.17643942,-0.39398906,False
261,2783.1099999999997,True,0.28510594,0.41710886,0.15310305,False
2053,8159.11,True,0.28483838,-0.18178841,-0.38788834,False
3229,11687.11,True,0.28461498,0.11365579,0.45557415,False
1626,6878.11,True,0.28301412,0.28590864,0.2801196,False
480,3440.1099999999997,True,0.28271905,0.07561787,0.4898202,False
1382,6146.11,True,0.2826598,0.44088933,0.12443029,False
1653,6959.11,True,0.28256854,0.40470278,0.16043432,False
67,2201.1099999999997,True,0.28219408,-0.31739312,-0.24699503,False
2051,8153.11,True,0.28194153,-0.22286952,-0.34101352,False
21,2063.1099999999997,False,0.2818594,-0.47342137,0.09029746,False
1323,5969.11,True,0.28165528,0.44502035,0.11829022,False
251,2753.1099999999997,False,0.2812524,-0.3752226,0.18728225,False
22,2066.1099999999997,False,0.28052533,-0.5432496,0.017801072,False
56,2168.1099999999997,True,0.2800699,-0.34804684,-0.21209294,False
476,3428.1099999999997,True,0.28001943,-0.23868701,-0.32135186,False
1617,6851.11,True,0.2799346,-0.27069166,-0.28917757,False
1173,5519.11,True,0.27915058,0.40801534,0.15028583,False
1595,6785.11,True,0.2791243,-0.15384649,-0.40440208,False
60,2180.1099999999997,True,0.27905503,-0.4257631,-0.13234696,False
822,4466.11,True,0.27890873,-0.16747436,-0.39034307,False
4738,16214.11,True,0.27883312,0.17597379,0.38169244,False
2342,9026.11,True,0.2788139,0.07354244,0.48408538,False
621,3863.1099999999997,True,0.278619,0.072453104,0.4847849,False
1911,7733.11,True,0.27813303,0.3204895,0.2357766,False
2528,9584.11,False,0.27796412,0.43647623,-0.119452015,False
187,2561.1099999999997,True,0.27794594,0.19297208,0.36291978,False
3089,11267.11,False,0.2776198,0.34083593,-0.21440367,False
687,4061.1099999999997,True,0.27702817,-0.50309044,-0.050965894,False
232,2696.1099999999997,True,0.2769755,-0.25156882,-0.30238217,False
4311,14933.11,True,0.27668414,0.22124107,0.3321272,False
55,2165.1099999999997,True,0.2762586,-0.47678775,-0.075729415,False
363,3089.1099999999997,True,0.2760133,0.2208878,0.33113882,False
1684,7052.11,True,0.2759453,0.12946369,0.42242694,False
2447,9341.11,True,0.27581486,0.18610476,0.36552498,False
3001,11003.11,True,0.27554613,0.10880773,0.44228452,False
1369,6107.11,True,0.2754164,0.24051212,0.31032068,False
1895,7685.11,True,0.27530786,0.3149185,0.23569725,False
1641,6923.11,True,0.27470452,0.25099733,0.2984117,False
3888,13664.11,True,0.27448502,0.088324085,0.46064594,False
4331,14993.11,True,0.2744112,0.2376648,0.3111576,False
166,2498.1099999999997,False,0.2743035,0.3987413,-0.14986569,False
2929,10787.11,False,0.27420872,-0.31004554,0.2383719,False
2940,10820.11,True,0.27420792,0.37717968,0.17123617,False
620,3860.1099999999997,False,0.27389282,-0.095088646,0.45269698,False
335,3005.1099999999997,True,0.27379107,0.107065275,0.44051686,False
80,2240.1099999999997,True,0.27349755,-0.4375578,-0.10943731,False
1060,5180.11,True,0.27332923,0.46208134,0.08457711,False
4043,14129.11,True,0.27303475,0.14793758,0.39813194,False
4507,15521.11,False,0.27275336,0.16205616,-0.38345057,False
227,2681.1099999999997,False,0.27271795,-0.08732014,0.4581158,False
4275,14825.11,True,0.2724176,0.14845948,0.39637575,False
3462,12386.11,True,0.27232978,0.061571434,0.48308814,False
2414,9242.11,True,0.27211726,0.09780621,0.4464283,False
305,2915.1099999999997,True,0.2720955,0.20958191,0.33460912,False
1600,6800.11,True,0.27194118,-0.22118363,-0.3226987,False
4950,16850.11,True,0.2715764,0.19308195,0.35007083,False
1540,6620.11,True,0.27114153,-0.18036973,-0.3619133,False
2398,9194.11,True,0.27108034,-0.1658188,-0.3763419,False
1647,6941.11,True,0.27088314,0.42505744,0.11670883,False
1264,5792.11,True,0.2707715,-0.31046915,-0.23107384,False
5279,17837.11,True,0.27062172,0.17800193,0.3632415,False
1159,5477.11,False,0.2706133,-0.13432424,0.40690237,False
2380,9140.11,False,0.27026486,-0.16192499,0.37860477,False
3184,11552.11,True,0.27019858,-0.21071838,-0.3296788,False
695,4085.1099999999997,True,0.27018723,-0.29732347,-0.243051,False
342,3026.1099999999997,True,0.27018222,0.20892687,0.3314376,False
3084,11252.11,False,0.27001262,0.23173466,-0.30829057,False
3188,11564.11,True,0.27000082,-0.17878179,-0.36121985,False
5821,19463.11,True,0.26988828,0.19135061,0.34842592,False
2932,10796.11,False,0.26971328,-0.3706716,0.16875497,False
2347,9041.11,False,0.26965952,0.17633788,-0.36298117,False
4202,14606.11,True,0.26957893,0.1515284,0.38762945,False
1858,7574.11,True,0.26939523,-0.19285844,-0.34593204,False
2939,10817.11,True,0.26939064,0.3711934,0.16758788,False
4326,14978.11,True,0.26930833,0.23626383,0.30235285,False
1380,6140.11,True,0.26896366,0.4299835,0.107943855,False
31,2093.1099999999997,True,0.26884478,-0.33380145,-0.20388815,False
2382,9146.11,False,0.26815546,-0.30588898,0.2304219,False
3284,11852.11,True,0.26815283,0.096284516,0.44002116,False
2269,8807.11,True,0.26809806,0.18518111,0.351015,False
5077,17231.11,False,0.26790196,0.186361,-0.34944293,False
4167,14501.11,True,0.2674265,-0.1754872,-0.3593658,False
1017,5051.11,True,0.26723254,-0.2951306,-0.2393345,False
2086,8258.11,True,0.2669724,0.15868779,0.37525702,False
2965,10895.11,True,0.26689935,0.3190977,0.21470101,False
823,4469.11,True,0.26667053,-0.1769952,-0.35634586,False
1071,5213.11,False,0.2665636,0.23187494,-0.30125225,False
1072,5216.11,False,0.26653743,0.18177855,-0.3512963,False
3228,11684.11,True,0.26635417,0.11080448,0.42190388,False
4933,16799.11,False,0.2663538,0.17571431,-0.35699323,False
3704,13112.11,True,0.26626843,-0.16961437,-0.3629225,False
324,2972.1099999999997,False,0.2661747,-0.0013396096,0.5310098,False
692,4076.1099999999997,True,0.26601142,-0.29494828,-0.23707457,False
5435,18305.11,True,0.2659874,0.1161578,0.41581702,False
1723,7169.11,True,0.26594204,-0.32732677,-0.20455731,False
3907,13721.11,True,0.2656158,0.13287757,0.398354,False
3454,12362.11,False,0.2653422,0.14083359,-0.38985083,False
5266,17798.11,True,0.2651977,0.13554151,0.3948539,False
1752,7256.11,True,0.26516634,-0.22322625,-0.3071064,False
383,3149.1099999999997,False,0.26487517,-0.0033838127,0.52636653,False
659,3977.1099999999997,True,0.26454484,0.16608447,0.3630052,False
203,2609.1099999999997,True,0.26417315,-0.26030737,-0.26803896,False
5934,19802.11,True,0.2641043,0.15647444,0.37173417,False
1541,6623.11,True,0.26378173,-0.10152929,-0.42603415,False
1338,6014.11,True,0.26350635,0.3663146,0.16069809,False
1324,5972.11,True,0.2632428,0.44648528,0.08000034,False
4724,16172.11,True,0.26315296,0.1622582,0.3640477,False
617,3851.1099999999997,True,0.2630524,-0.3431383,-0.1829665,False
3060,11180.11,True,0.2628744,0.20532306,0.32042575,False
2309,8927.11,True,0.26286775,0.053673796,0.4720617,False
1110,5330.11,True,0.2627528,-0.17314443,-0.35236117,False
5436,18308.11,True,0.26231307,0.16723816,0.357388,False
4111,14333.11,True,0.26191926,0.18070956,0.34312895,False
2082,8246.11,True,0.26190406,0.16077009,0.36303803,False
858,4574.11,False,0.26189375,-0.2986561,0.22513142,False
4321,14963.11,True,0.26188073,0.16180263,0.3619588,False
2445,9335.11,True,0.2617239,0.16650824,0.35693958,False
3032,11096.11,True,0.2616381,0.2507716,0.27250463,False
781,4343.11,True,0.26159525,0.09869449,0.424496,False
3185,11555.11,True,0.26154292,-0.19927777,-0.32380807,False
1652,6956.11,True,0.26139036,0.39570385,0.12707685,False
1643,6929.11,True,0.26105523,0.24153152,0.2805789,False
4588,15764.11,True,0.26103804,0.23171477,0.2903613,False
2400,9200.11,True,0.26042333,-0.19041947,-0.3304272,False
54,2162.1099999999997,True,0.26008722,-0.47411323,-0.04606122,False
61,2183.1099999999997,True,0.25981253,-0.25655058,-0.26307452,False
2871,10613.11,True,0.2597551,-0.20746897,-0.31204122,False
3908,13724.11,True,0.2594897,0.20464791,0.31433144,False
5679,19037.11,True,0.25945985,0.12181512,0.3971046,False
2264,8792.11,True,0.2594107,0.18378444,0.335037,False
1160,5480.11,False,0.2586962,-0.22543281,0.29195958,False
5860,19580.11,True,0.25828004,0.15740015,0.35915992,False
1618,6854.11,True,0.25807643,-0.17412484,-0.34202805,False
609,3827.1099999999997,False,0.2580308,0.14861606,-0.36744556,False
3521,12563.11,False,0.25780404,0.16875063,-0.34685746,False
4726,16178.11,True,0.25754997,0.13571623,0.3793837,False
2577,9731.11,True,0.25733206,-0.09732873,-0.4173354,False
818,4454.11,True,0.2570586,-0.09681155,-0.41730562,False
312,2936.1099999999997,True,0.2567983,-0.23241869,-0.2811779,False
5824,19472.11,True,0.2566136,0.24861717,0.26461005,False
1729,7187.11,False,0.25660372,0.38554412,-0.12766333,False
878,4634.11,True,0.2565683,0.1595661,0.3535705,False
2629,9887.11,True,0.25647193,-0.13212198,-0.3808219,False
3401,12203.11,True,0.2563616,0.10787663,0.40484658,False
5662,18986.11,False,0.2563465,0.1302133,-0.38247967,False
3105,11315.11,True,0.25626576,0.34274673,0.16978477,False
2241,8723.11,True,0.25616658,0.17664853,0.33568466,False
4219,14657.11,False,0.25610107,0.1869362,-0.32526597,False
2093,8279.11,True,0.25604212,0.18895167,0.32313257,False
815,4445.11,True,0.25603592,-0.1829653,-0.32910657,False
1676,7028.11,True,0.25556284,-0.30522335,-0.20590237,False
288,2864.1099999999997,False,0.25556025,-0.1008904,0.4102301,False
329,2987.1099999999997,True,0.25517878,0.019926189,0.4904314,False
2529,9587.11,False,0.254871,0.4129433,-0.09679875,False
2576,9728.11,True,0.25455093,-0.09501038,-0.4140915,False
27,2081.1099999999997,False,0.2544356,-0.44458207,0.06428911,False
650,3950.1099999999997,False,0.2544124,0.3291277,-0.17969716,False
2085,8255.11,True,0.2543299,0.13994357,0.3687162,False
1208,5624.11,True,0.25432545,0.09469563,0.41395524,False
1616,6848.11,True,0.25427264,-0.22355047,-0.28499478,False
2038,8114.11,True,0.25403726,-0.27109694,-0.23697756,False
5681,19043.11,True,0.2540344,0.15900889,0.34905994,False
430,3290.1099999999997,True,0.2539063,-0.17243914,-0.33537346,False
504,3512.1099999999997,True,0.25389656,-0.33193198,-0.17586115,False
5440,18320.11,False,0.25364232,0.15442926,-0.35285538,False
4866,16598.11,True,0.25351238,0.160707,0.34631774,False
2092,8276.11,True,0.25345004,0.26085204,0.24604805,False
3243,11729.11,True,0.2531708,0.18093127,0.32541034,False
4838,16514.11,True,0.2529806,0.21201643,0.29394478,False
