cift,hedef,strateji,n,fark,anlamli
Escherichia coli/Ceftriaxone,DRIAMS-C,pooled,100,-0.005 [-0.022-0.012],hayir
Escherichia coli/Ceftriaxone,DRIAMS-C,pooled,200,0.010 [0.001-0.019],EVET
Escherichia coli/Ceftriaxone,DRIAMS-C,pooled,400,0.024 [0.013-0.035],EVET
Escherichia coli/Ceftriaxone,DRIAMS-D,recal,25,0.000 [0.000-0.000],hayir
Escherichia coli/Ceftriaxone,DRIAMS-D,recal,50,-0.042 [-0.125-0.000],hayir
Escherichia coli/Ceftriaxone,DRIAMS-D,recal,100,0.000 [0.000-0.000],hayir
Escherichia coli/Ceftriaxone,DRIAMS-D,recal,200,0.000 [0.000-0.000],hayir
Escherichia coli/Ceftriaxone,DRIAMS-D,recal,500,0.000 [0.000-0.000],hayir
Escherichia coli/Ceftriaxone,DRIAMS-D,finetune,25,-0.052 [-0.090--0.000],EVET
Escherichia coli/Ceftriaxone,DRIAMS-D,finetune,50,-0.045 [-0.067--0.026],EVET
Escherichia coli/Ceftriaxone,DRIAMS-D,finetune,100,-0.060 [-0.098--0.026],EVET
Escherichia coli/Ceftriaxone,DRIAMS-D,finetune,200,-0.126 [-0.163--0.087],EVET
Escherichia coli/Ceftriaxone,DRIAMS-D,finetune,500,-0.116 [-0.153--0.079],EVET
Escherichia coli/Ceftriaxone,DRIAMS-D,local,25,-0.303 [-0.348--0.237],EVET
Escherichia coli/Ceftriaxone,DRIAMS-D,local,50,-0.318 [-0.347--0.290],EVET
Escherichia coli/Ceftriaxone,DRIAMS-D,local,100,-0.304 [-0.330--0.279],EVET
Escherichia coli/Ceftriaxone,DRIAMS-D,local,200,-0.250 [-0.283--0.214],EVET
Escherichia coli/Ceftriaxone,DRIAMS-D,local,500,-0.151 [-0.181--0.123],EVET
Escherichia coli/Ceftriaxone,DRIAMS-D,pooled,25,0.026 [0.016-0.037],EVET
Escherichia coli/Ceftriaxone,DRIAMS-D,pooled,50,0.030 [0.017-0.043],EVET
Escherichia coli/Ceftriaxone,DRIAMS-D,pooled,100,0.035 [0.024-0.044],EVET
Escherichia coli/Ceftriaxone,DRIAMS-D,pooled,200,0.049 [0.041-0.057],EVET
Escherichia coli/Ceftriaxone,DRIAMS-D,pooled,500,0.058 [0.049-0.066],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-C,recal,25,-0.055 [-0.165-0.000],hayir
Escherichia coli/Ciprofloxacin,DRIAMS-C,recal,50,0.000 [0.000-0.000],hayir
Escherichia coli/Ciprofloxacin,DRIAMS-C,recal,100,0.000 [0.000-0.000],hayir
Escherichia coli/Ciprofloxacin,DRIAMS-C,recal,200,0.000 [0.000-0.000],hayir
Escherichia coli/Ciprofloxacin,DRIAMS-C,recal,400,0.000 [0.000-0.000],hayir
Escherichia coli/Ciprofloxacin,DRIAMS-C,finetune,25,-0.037 [-0.048--0.026],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-C,finetune,50,-0.027 [-0.037--0.014],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-C,finetune,100,-0.023 [-0.041--0.010],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-C,finetune,200,-0.015 [-0.026--0.006],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-C,finetune,400,-0.003 [-0.012-0.005],hayir
Escherichia coli/Ciprofloxacin,DRIAMS-C,local,25,-0.420 [-0.450--0.391],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-C,local,50,-0.387 [-0.418--0.355],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-C,local,100,-0.323 [-0.374--0.273],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-C,local,200,-0.203 [-0.234--0.169],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-C,local,400,-0.118 [-0.140--0.096],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-C,pooled,25,-0.011 [-0.019--0.004],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-C,pooled,50,-0.005 [-0.015-0.006],hayir
Escherichia coli/Ciprofloxacin,DRIAMS-C,pooled,100,-0.001 [-0.012-0.010],hayir
Escherichia coli/Ciprofloxacin,DRIAMS-C,pooled,200,0.001 [-0.003-0.006],hayir
Escherichia coli/Ciprofloxacin,DRIAMS-C,pooled,400,0.005 [-0.006-0.015],hayir
Escherichia coli/Ciprofloxacin,DRIAMS-D,recal,25,-0.017 [-0.050-0.000],hayir
Escherichia coli/Ciprofloxacin,DRIAMS-D,recal,50,0.000 [0.000-0.000],hayir
Escherichia coli/Ciprofloxacin,DRIAMS-D,recal,100,0.000 [0.000-0.000],hayir
Escherichia coli/Ciprofloxacin,DRIAMS-D,recal,200,0.000 [0.000-0.000],hayir
Escherichia coli/Ciprofloxacin,DRIAMS-D,recal,500,0.000 [0.000-0.000],hayir
Escherichia coli/Ciprofloxacin,DRIAMS-D,finetune,25,-0.030 [-0.040--0.021],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-D,finetune,50,-0.046 [-0.059--0.034],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-D,finetune,100,-0.025 [-0.036--0.015],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-D,finetune,200,-0.035 [-0.075--0.004],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-D,finetune,500,-0.042 [-0.055--0.028],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-D,local,25,-0.264 [-0.286--0.244],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-D,local,50,-0.284 [-0.304--0.265],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-D,local,100,-0.281 [-0.303--0.259],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-D,local,200,-0.206 [-0.240--0.174],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-D,local,500,-0.118 [-0.150--0.088],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-D,pooled,25,0.017 [0.007-0.028],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-D,pooled,50,0.027 [0.018-0.034],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-D,pooled,100,0.035 [0.027-0.044],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-D,pooled,200,0.033 [0.027-0.040],EVET
Escherichia coli/Ciprofloxacin,DRIAMS-D,pooled,500,0.039 [0.031-0.048],EVET
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,recal,25,-0.110 [-0.220-0.000],hayir
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,recal,50,-0.044 [-0.109-0.000],hayir
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,recal,100,-0.032 [-0.079-0.000],hayir
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,recal,200,0.000 [0.000-0.000],hayir
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,recal,500,0.000 [0.000-0.000],hayir
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,recal,1000,0.000 [0.000-0.000],hayir
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,finetune,25,-0.091 [-0.107--0.075],EVET
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,finetune,50,-0.135 [-0.189--0.077],EVET
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,finetune,100,-0.175 [-0.196--0.153],EVET
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,finetune,200,-0.179 [-0.213--0.150],EVET
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,finetune,500,-0.181 [-0.206--0.158],EVET
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,finetune,1000,-0.174 [-0.206--0.148],EVET
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,local,25,-0.176 [-0.187--0.165],EVET
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,local,50,-0.167 [-0.208--0.127],EVET
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,local,100,-0.167 [-0.194--0.136],EVET
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,local,200,-0.146 [-0.187--0.108],EVET
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,local,500,-0.128 [-0.163--0.098],EVET
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,local,1000,-0.113 [-0.140--0.088],EVET
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,pooled,25,0.017 [0.012-0.022],EVET
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,pooled,50,-0.007 [-0.019-0.004],hayir
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,pooled,100,-0.007 [-0.018-0.006],hayir
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,pooled,200,-0.007 [-0.021-0.005],hayir
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,pooled,500,-0.005 [-0.015-0.008],hayir
Klebsiella pneumoniae/Ceftriaxone,DRIAMS-D,pooled,1000,-0.002 [-0.017-0.012],hayir
Staphylococcus aureus/Oxacillin,DRIAMS-C,recal,25,0.000 [0.000-0.000],hayir
Staphylococcus aureus/Oxacillin,DRIAMS-C,recal,50,-0.024 [-0.071-0.000],hayir
Staphylococcus aureus/Oxacillin,DRIAMS-C,recal,100,0.000 [0.000-0.000],hayir
Staphylococcus aureus/Oxacillin,DRIAMS-C,recal,200,0.000 [0.000-0.000],hayir
Staphylococcus aureus/Oxacillin,DRIAMS-C,recal,300,0.000 [0.000-0.000],hayir
Staphylococcus aureus/Oxacillin,DRIAMS-C,finetune,25,-0.004 [-0.025-0.033],hayir
Staphylococcus aureus/Oxacillin,DRIAMS-C,finetune,50,-0.023 [-0.062-0.021],hayir
Staphylococcus aureus/Oxacillin,DRIAMS-C,finetune,100,-0.026 [-0.064-0.005],hayir
Staphylococcus aureus/Oxacillin,DRIAMS-C,finetune,200,-0.020 [-0.050-0.015],hayir
Staphylococcus aureus/Oxacillin,DRIAMS-C,finetune,300,-0.023 [-0.043--0.002],EVET
Staphylococcus aureus/Oxacillin,DRIAMS-C,local,25,-0.029 [-0.043--0.006],EVET
Staphylococcus aureus/Oxacillin,DRIAMS-C,local,50,-0.079 [-0.118--0.051],EVET
Staphylococcus aureus/Oxacillin,DRIAMS-C,local,100,-0.063 [-0.098--0.034],EVET
Staphylococcus aureus/Oxacillin,DRIAMS-C,local,200,-0.067 [-0.093--0.043],EVET
Staphylococcus aureus/Oxacillin,DRIAMS-C,local,300,-0.030 [-0.076-0.014],hayir
Staphylococcus aureus/Oxacillin,DRIAMS-C,pooled,25,0.010 [-0.011-0.049],hayir
Staphylococcus aureus/Oxacillin,DRIAMS-C,pooled,50,0.065 [0.038-0.097],EVET
Staphylococcus aureus/Oxacillin,DRIAMS-C,pooled,100,0.040 [0.020-0.067],EVET
Staphylococcus aureus/Oxacillin,DRIAMS-C,pooled,200,0.059 [0.041-0.077],EVET
Staphylococcus aureus/Oxacillin,DRIAMS-C,pooled,300,0.093 [0.071-0.116],EVET
